Date,USD
09-Oct-17,65.35500052
10-Oct-17,65.25000212
11-Oct-17,65.15999809
12-Oct-17,65.06000126
13-Oct-17,64.69999808
16-Oct-17,64.69999808
17-Oct-17,65.03000029
18-Oct-17,65.05499847
19-Oct-17,64.99499961
20-Oct-17,65.03999895
23-Oct-17,65.02299798
24-Oct-17,65.09000027
25-Oct-17,64.92500156
26-Oct-17,64.83999855
27-Oct-17,65.03999895
30-Oct-17,64.86000001
31-Oct-17,64.75000186
01-Nov-17,64.56499849
02-Nov-17,64.5750006
03-Nov-17,64.56000068
06-Nov-17,64.62499922
07-Nov-17,65.06000126
08-Nov-17,64.91999844
09-Nov-17,64.97499924
10-Nov-17,65.19000017
13-Nov-17,65.43999826
14-Nov-17,65.41000101
15-Nov-17,65.27000176
16-Nov-17,65.29500151
17-Nov-17,65.01499961
20-Nov-17,65.10000044
21-Nov-17,64.88000119
22-Nov-17,64.88000119
23-Nov-17,64.57000124
24-Nov-17,64.67999894
27-Nov-17,64.47700189
28-Nov-17,64.40999798
29-Nov-17,64.35999998
30-Nov-17,64.49000018
01-Dec-17,64.52000023
04-Dec-17,64.38000064
05-Dec-17,64.35999998
06-Dec-17,64.5300009
07-Dec-17,64.57000124
08-Dec-17,64.47999943
11-Dec-17,64.35500072
12-Dec-17,64.40999798
13-Dec-17,64.45999893
14-Dec-17,64.33999932
15-Dec-17,64.08000055
18-Dec-17,64.2100006
19-Dec-17,64.06000116
20-Dec-17,64.11500077
21-Dec-17,64.01999882
22-Dec-17,64.01999882
26-Dec-17,64.05000204
27-Dec-17,64.11999981
28-Dec-17,64.08000055
29-Dec-17,63.84000163
01-Jan-18,63.67999833
02-Jan-18,63.45999907
03-Jan-18,63.50499835
04-Jan-18,63.39999864
05-Jan-18,63.33999923
08-Jan-18,63.4749998
09-Jan-18,63.66999992
10-Jan-18,63.63000121
11-Jan-18,63.68999988
12-Jan-18,63.60999845
15-Jan-18,63.51500148
16-Jan-18,64.01999882
17-Jan-18,63.88499882
18-Jan-18,63.86999951
19-Jan-18,63.83000181
22-Jan-18,63.8899988
23-Jan-18,63.76000123
24-Jan-18,63.66000059
25-Jan-18,63.51500148
29-Jan-18,63.60000178
30-Jan-18,63.68999988
31-Jan-18,63.55000092
01-Feb-18,63.98000139
02-Feb-18,64.13000023
05-Feb-18,64.13999966
06-Feb-18,64.22999889
07-Feb-18,64.28000163
08-Feb-18,64.29999807
09-Feb-18,64.37499827
12-Feb-18,64.28000163
13-Feb-18,64.264998
14-Feb-18,64.1000001
15-Feb-18,63.9000011
16-Feb-18,64.21499798
19-Feb-18,64.25000138
20-Feb-18,64.86000001
21-Feb-18,64.80500046
22-Feb-18,64.97499924
23-Feb-18,64.71000019
26-Feb-18,64.76999817
27-Feb-18,64.91999844
28-Feb-18,65.21000131
01-Mar-18,65.23000197
02-Mar-18,65.2200001
05-Mar-18,65.02500211
06-Mar-18,64.90499791
07-Mar-18,64.88000119
08-Mar-18,65.10500167
09-Mar-18,65.12500158
12-Mar-18,64.98500211
13-Mar-18,64.85499849
14-Mar-18,64.83999855
15-Mar-18,64.98999836
16-Mar-18,64.98999836
19-Mar-18,65.2200001
20-Mar-18,65.21000131
21-Mar-18,65.18000207
22-Mar-18,65.10500167
23-Mar-18,64.98999836
26-Mar-18,64.82500134
27-Mar-18,64.94500068
28-Mar-18,65.15999809
29-Mar-18,65.11499797
02-Apr-18,65.12999817
03-Apr-18,65.00000163
04-Apr-18,65.04499943
05-Apr-18,64.89000009
06-Apr-18,64.93000124
09-Apr-18,64.95499853
10-Apr-18,64.94999922
11-Apr-18,65.26000041
12-Apr-18,65.29000088
13-Apr-18,65.25500088
16-Apr-18,65.47000161
17-Apr-18,65.67999982
18-Apr-18,65.72000073
19-Apr-18,65.86999976
20-Apr-18,66.20999865
23-Apr-18,66.53000074
24-Apr-18,66.41000087
25-Apr-18,66.91999901
26-Apr-18,66.80500201
27-Apr-18,66.62000158
30-Apr-18,66.45999823
01-May-18,66.79999947
02-May-18,66.68999927
03-May-18,66.67000017
04-May-18,66.82000075
07-May-18,67.13999918
08-May-18,67.12999791
09-May-18,67.34999976
10-May-18,67.24500057
11-May-18,67.35999864
14-May-18,67.55999902
15-May-18,68.07999836
16-May-18,67.77500028
17-May-18,67.76500182
18-May-18,67.99000139
21-May-18,68.11500046
22-May-18,68.02000169
23-May-18,68.37000039
24-May-18,68.33999888
25-May-18,67.73000058
28-May-18,67.40000115
29-May-18,67.84000017
30-May-18,67.44000116
31-May-18,67.43000125
01-Jun-18,66.99500023
04-Jun-18,67.06999881
05-Jun-18,67.09999846
06-Jun-18,66.84000061
07-Jun-18,67.41999977
08-Jun-18,67.53000172
11-Jun-18,67.47000048
12-Jun-18,67.47999859
13-Jun-18,67.64499824
14-Jun-18,67.68999957
15-Jun-18,68.06000006
18-Jun-18,68.03999963
19-Jun-18,68.31000034
20-Jun-18,68.06000006
21-Jun-18,67.94500205
22-Jun-18,67.8700018
25-Jun-18,68.11500046
26-Jun-18,68.37000039
27-Jun-18,68.63999797
28-Jun-18,68.84000056
29-Jun-18,68.45999916
02-Jul-18,68.720002
03-Jul-18,68.55000023
04-Jul-18,68.68999929
05-Jul-18,68.88000153
06-Jul-18,68.80500229
09-Jul-18,68.65999919
10-Jul-18,68.75499892
11-Jul-18,68.73000086
12-Jul-18,68.5200002
13-Jul-18,68.50000069
16-Jul-18,68.55000023
17-Jul-18,68.42999823
18-Jul-18,68.62499999
19-Jul-18,69.0200002
20-Jul-18,68.7399979
23-Jul-18,68.84500051
24-Jul-18,68.94700141
25-Jul-18,68.73000086
26-Jul-18,68.65999919
27-Jul-18,68.60500033
30-Jul-18,68.60500033
31-Jul-18,68.45999916
01-Aug-18,68.34999957
02-Aug-18,68.62499999
03-Aug-18,68.54500075
06-Aug-18,68.8299981
07-Aug-18,68.63000173
08-Aug-18,68.65999919
09-Aug-18,68.76000071
10-Aug-18,68.88999955
13-Aug-18,70.01999911
14-Aug-18,69.96000107
16-Aug-18,70.08999766
17-Aug-18,70.10000116
20-Aug-18,69.81999846
21-Aug-18,69.85999986
22-Aug-18,69.87000127
23-Aug-18,70.10499906
24-Aug-18,69.97000176
27-Aug-18,70.16500001
28-Aug-18,70.10000116
29-Aug-18,70.5349988
30-Aug-18,70.74499789
31-Aug-18,71.00500124
03-Sep-18,71.21499765
04-Sep-18,71.58499999
05-Sep-18,71.7550003
06-Sep-18,71.9499982
07-Sep-18,71.78999817
10-Sep-18,72.45500001
11-Sep-18,72.63999907
12-Sep-18,72.16000066
13-Sep-18,72.03700109
14-Sep-18,71.87999836
17-Sep-18,72.53999819
18-Sep-18,72.71000212
19-Sep-18,72.35999968
20-Sep-18,72.01499986
21-Sep-18,72.24000209
24-Sep-18,72.6699982
25-Sep-18,72.68499913
26-Sep-18,72.59999833
27-Sep-18,72.56999903
28-Sep-18,72.51000112
01-Oct-18,72.92499759
03-Oct-18,73.34499763
04-Oct-18,73.62999792
05-Oct-18,73.7699996
08-Oct-18,74.06499974
09-Oct-18,74.34000203
10-Oct-18,74.25000258
11-Oct-18,74.0499996
12-Oct-18,73.60999848
15-Oct-18,73.7699996
16-Oct-18,73.46500025
17-Oct-18,73.59999741
18-Oct-18,73.53000109
19-Oct-18,73.37500055
22-Oct-18,73.55999866
23-Oct-18,73.55000036
24-Oct-18,73.22999799
25-Oct-18,73.22999799
26-Oct-18,73.45999747
29-Oct-18,73.40000109
30-Oct-18,73.68000068
31-Oct-18,73.96000036
01-Nov-18,73.45500077
02-Nov-18,72.4399994
05-Nov-18,73.08000199
06-Nov-18,72.95499844
07-Nov-18,72.45000262
08-Nov-18,72.38000138
09-Nov-18,72.48000259
12-Nov-18,72.8599998
13-Nov-18,72.61500201
14-Nov-18,72.30999933
15-Nov-18,71.91499935
16-Nov-18,71.97999993
19-Nov-18,71.61000048
20-Nov-18,71.43000003
21-Nov-18,71.30499986
22-Nov-18,70.69000228
23-Nov-18,70.65500011
26-Nov-18,70.81999999
27-Nov-18,70.78499927
28-Nov-18,70.64000195
29-Nov-18,69.77999901
30-Nov-18,69.649999
03-Dec-18,70.44000136
04-Dec-18,70.52999909
05-Dec-18,70.55999801
06-Dec-18,70.85000021
07-Dec-18,70.8600009
10-Dec-18,72.51999739
11-Dec-18,72.29099787
12-Dec-18,71.8399991
13-Dec-18,71.53000097
14-Dec-18,71.92000079
17-Dec-18,71.61000048
18-Dec-18,70.61999768
19-Dec-18,70.27899778
20-Dec-18,69.98000042
